"DateTime"," NDSI (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDSI (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1984-04-10",0.3609,0.6046
"1984-05-12",-0.044,
"1984-06-06",-0.3972,-0.4205
"1984-06-13",-0.4335,
"1984-06-22",-0.4963,-0.5057
"1984-06-29",-0.4725,-0.4871
"1984-07-08",-0.4332,-0.4522
"1984-07-15",-0.4267,-0.439
"1984-07-24",,
"1984-08-25",-0.4718,-0.4853
"1984-11-04",-0.2197,0.0287
"1984-11-13",-0.3255,-0.1749
"1984-11-20",-0.3493,-0.2344
"1984-12-22",0.0121,0.0942
"1985-01-07",,0.2525
"1985-01-16",-0.0113,0.1782
"1985-01-23",-0.0538,0.2772
"1985-02-01",0.5387,0.4935
"1985-02-08",0.1938,0.2086
"1985-02-17",,
"1985-04-06",-0.3249,-0.0716
"1985-04-13",-0.4153,-0.3982
"1985-05-08",-0.4807,-0.5076
"1985-05-24",-0.4659,-0.492
"1985-07-27",-0.4789,-0.4923
"1985-08-12",-0.5028,-0.515
"1985-08-28",-0.465,-0.4724
"1985-09-04",0.0308,-0.1822
"1985-09-13",-0.4428,-0.45
"1985-10-15",-0.3758,-0.2266
"1985-10-22",-0.4442,-0.4618
"1985-10-31",,
"1985-11-16",0.4359,0.4365
"1985-11-23",0.0542,0.1885
"1985-12-02",-0.0342,-0.029
"1985-12-09",,
"1986-01-03",0.0423,0.147
"1986-01-10",0.2768,0.2519
"1986-01-19",,
"1986-01-26",-0.2494,-0.179
"1986-02-04",-0.2827,0.025
"1986-02-27",,
"1986-03-08",,
"1986-03-15",,-0.1153
"1986-03-31",,-0.361
"1986-04-09",-0.2727,-0.0217
"1986-04-25",-0.4359,-0.4453
"1986-05-02",,-0.2363
"1986-05-11",-0.4691,-0.482
"1986-05-18",-0.3822,-0.4371
"1986-06-03",,-0.2957
"1986-06-12",-0.472,-0.4797
"1986-06-19",-0.4474,-0.4355
"1986-06-28",-0.4282,-0.4658
"1986-07-05",,
"1986-07-14",-0.4791,-0.4912
"1986-07-21",,-0.278
"1986-07-30",-0.4749,-0.4909
"1986-08-06",-0.4782,-0.4929
"1986-08-15",-0.4778,-0.4871
"1986-08-22",,-0.2415
"1986-08-31",-0.4627,-0.4737
"1986-09-07",,
"1986-09-16",-0.2481,
"1986-09-23",-0.4121,-0.4489
"1986-10-02",-0.4341,-0.4416
"1986-10-09",-0.3953,-0.3969
"1986-10-18",-0.4128,-0.4348
"1986-10-25",-0.3912,-0.4061
"1986-11-10",0.0575,0.2494
"1986-11-26",0.3427,0.3773
"1986-12-12",0.5659,0.5706
"1986-12-21",0.4133,0.5263
"1986-12-28",0.3365,0.4616
"1987-01-06",0.2793,0.5401
"1987-01-13",0.2441,0.403
"1987-01-22",0.5099,0.519
"1987-01-29",0.2576,0.3767
"1987-02-07",0.0878,0.3803
"1987-03-02",0.6417,0.6553
"1987-04-03",0.0714,0.3626
"1987-04-19",-0.429,-0.3327
"1987-04-28",-0.434,-0.447
"1987-05-05",,
"1987-05-14",-0.4581,-0.4416
"1987-05-30",-0.4532,-0.4674
"1987-06-06",-0.4196,-0.4001
"1987-06-15",-0.4713,-0.4866
"1987-06-22",-0.4857,-0.4998
"1987-07-01",-0.4642,-0.4862
"1987-07-24",-0.4817,-0.0307
"1987-08-02",-0.491,-0.4967
"1987-08-09",-0.285,-0.3375
"1987-08-18",-0.4794,-0.4841
"1987-08-25",-0.4176,-0.414
"1987-09-03",-0.477,-0.485
"1987-09-10",-0.4582,-0.4732
"1987-09-19",-0.4583,-0.474
"1987-09-26",-0.4329,-0.4606
"1987-10-05",-0.3461,-0.335
"1987-10-12",-0.4544,-0.4583
"1987-10-21",-0.4305,-0.4498
"1987-11-14",-0.3024,-0.3715
"1988-03-04",,
"1988-03-20",,
"1988-03-29",0.6143,0.616
"1988-04-05",-0.2735,-0.1759
"1988-04-14",,
"1988-04-21",-0.4357,-0.4586
"1988-04-30",-0.3934,-0.4705
"1988-05-07",-0.4633,-0.4842
"1988-05-16",-0.4666,-0.4809
"1988-05-23",-0.4196,-0.3548
"1988-06-01",-0.3129,-0.4253
"1988-06-08",-0.4194,-0.4674
"1988-06-17",-0.4526,-0.4611
"1988-06-24",-0.4485,-0.4693
"1988-07-03",-0.4605,-0.474
"1988-07-26",-0.3885,-0.4251
"1988-07-27",-0.46,-0.4728
"1988-08-11",-0.433,-0.3476
"1988-08-27",-0.3703,-0.2575
"1988-09-05",-0.4731,-0.4779
"1988-09-21",-0.3468,
"1988-09-28",-0.1661,-0.4219
"1988-10-07",-0.3805,-0.3755
"1988-10-14",-0.4392,-0.439
"1988-10-23",-0.4313,-0.4377
"1988-10-30",-0.4022,-0.406
"1989-04-01",,
"1989-04-08",-0.3631,-0.4299
"1989-04-17",-0.3791,-0.3791
"1989-04-24",-0.4444,-0.4744
"1989-05-03",-0.3801,-0.208
"1989-05-10",,
"1989-05-26",,
"1989-06-11",,
"1989-06-20",-0.2874,-0.2684
"1989-07-05",-0.4844,-0.4867
"1989-07-13",-0.4803,-0.4734
"1989-07-14",-0.3488,-0.4589
"1989-07-22",-0.2093,-0.3968
"1989-07-29",-0.4543,-0.4595
"1989-08-07",-0.4612,-0.4685
"1989-08-14",-0.5016,-0.4772
"1989-08-15",-0.4774,-0.4805
"1989-08-23",-0.4686,-0.4776
"1989-08-30",-0.4801,-0.4961
"1989-08-31",-0.4725,-0.4817
"1989-09-07",-0.4894,-0.4949
"1989-09-08",-0.3593,-0.3734
"1989-09-15",-0.487,-0.4973
"1989-09-24",-0.4557,-0.462
"1989-10-01",-0.4821,-0.4861
"1989-10-10",-0.4415,-0.4525
"1989-10-17",,
"1990-02-15",0.4776,0.5237
"1990-03-26",-0.1982,-0.1232
"1990-04-04",-0.3225,-0.229
"1990-04-11",,-0.3396
"1990-04-20",-0.4138,-0.4503
"1990-04-27",,
"1990-05-06",-0.4612,-0.3319
"1990-05-13",-0.3818,
"1990-05-22",-0.4521,-0.4575
"1990-06-23",-0.4537,-0.4634
"1990-07-09",-0.415,-0.3668
"1990-08-10",-0.3547,-0.3982
"1990-09-02",-0.4539,-0.4823
"1990-09-11",-0.4753,-0.4844
"1990-09-27",,
"1990-10-04",,
"1990-10-13",-0.4513,-0.4569
"1990-10-29",-0.4296,-0.4436
"1991-03-22",0.6319,0.6099
"1991-03-29",,
"1991-04-07",,
"1991-04-14",0.4098,0.4327
"1991-04-23",,
"1991-04-30",0.4531,0.3196
"1991-05-09",,
"1991-05-25",-0.456,-0.4635
"1991-06-01",,
"1991-06-10",-0.4407,-0.4548
"1991-06-17",-0.4852,-0.4984
"1991-06-26",-0.4353,-0.4482
"1991-07-03",-0.4533,-0.4271
"1991-07-12",-0.4317,-0.2137
"1991-07-19",-0.4765,-0.3497
"1991-07-28",-0.4798,-0.4834
"1991-08-04",,
"1991-08-20",,-0.4002
"1991-08-29",-0.4579,-0.4616
"1991-09-05",-0.4171,-0.4487
"1991-09-14",-0.4627,-0.4643
"1991-09-21",-0.4723,-0.4711
"1991-10-07",-0.4269,-0.4568
"1991-10-16",-0.4303,-0.4339
"1991-10-23",,-0.1799
"1992-01-20",0.4479,0.4865
"1992-03-15",0.1248,0.4659
"1992-03-24",0.1423,0.4243
"1992-03-31",,
"1992-04-09",-0.3107,-0.2588
"1992-04-16",-0.1703,0.5924
"1992-04-25",-0.4141,-0.4149
"1992-05-02",-0.1776,
"1992-05-11",-0.3982,-0.4162
"1992-05-18",-0.2849,-0.2311
"1992-06-03",-0.2998,-0.3574
"1992-06-04",-0.3615,-0.3859
"1992-06-11",-0.1996,-0.1761
"1992-06-12",-0.42,-0.4345
"1992-06-19",-0.4355,-0.4283
"1992-06-20",-0.2763,
"1992-06-28",-0.2357,-0.3434
"1992-07-05",-0.4545,-0.4722
"1992-07-06",-0.4662,-0.4687
"1992-07-21",-0.435,-0.4509
"1992-07-30",-0.4431,-0.4491
"1992-08-15",-0.441,-0.4502
"1992-08-22",-0.3823,-0.3328
"1992-08-31",,
"1992-09-07",-0.4192,-0.4218
"1992-09-16",-0.3311,-0.3586
"1992-09-23",-0.455,-0.4688
"1992-10-02",-0.4099,-0.4152
"1992-10-09",-0.3735,-0.3416
"1992-10-18",-0.3797,-0.4277
"1992-10-25",-0.2425,-0.3299
"1992-11-03",,
"1992-11-10",0.0345,0.095
"1992-11-26",0.6259,0.6162
"1992-12-12",,
"1992-12-21",0.473,0.5032
"1993-01-06",0.3875,0.459
"1993-01-13",0.3444,0.4712
"1993-01-22",0.1984,0.3735
"1993-01-29",,
"1993-02-07",,
"1993-02-14",,0.4364
"1993-02-23",0.1474,0.377
"1993-03-02",0.0617,0.3381
"1993-03-18",,
"1993-04-03",,
"1993-04-12",-0.3832,-0.3845
"1993-04-19",,-0.2628
"1993-04-28",-0.4129,-0.4217
"1993-05-05",,
"1993-05-14",-0.2568,-0.3344
"1993-05-30",-0.2231,-0.3925
"1993-06-06",,
"1993-06-15",-0.4528,-0.4138
"1993-06-22",-0.4638,-0.4757
"1993-07-01",-0.4471,-0.4599
"1993-07-08",-0.1572,-0.252
"1993-07-17",,
"1993-07-24",,-0.4245
"1993-08-02",-0.3245,-0.4478
"1993-08-09",-0.4791,-0.4883
"1993-08-18",-0.3214,-0.1939
"1993-08-25",-0.4222,-0.4577
"1993-09-03",-0.4495,-0.4547
"1993-09-10",-0.4348,-0.4298
"1993-09-19",-0.3912,-0.4264
"1993-09-26",-0.4574,-0.4635
"1993-10-05",-0.4212,-0.4258
"1993-10-12",-0.343,-0.3841
"1993-10-21",-0.3954,-0.3993
"1993-10-28",0.0323,
"1993-11-06",0.4947,0.625
"1993-11-13",0.1036,0.3471
"1993-11-22",-0.0129,0.1832
"1993-11-29",-0.0901,0.0946
"1993-12-08",-0.1087,-0.0344
"1993-12-24",,
"1994-01-09",0.0284,0.2028
"1994-01-16",,
"1994-01-25",,
"1994-02-01",0.6374,0.6429
"1994-02-10",0.4898,
"1994-02-17",,
"1994-02-26",0.0442,0.1681
"1994-03-14",-0.227,-0.1465
"1994-03-21",-0.4087,-0.2861
"1994-03-30",0.6072,0.641
"1994-04-06",0.6938,0.6618
"1994-04-15",-0.3454,-0.2318
"1994-04-22",-0.4216,-0.4255
"1994-05-01",,
"1994-05-08",-0.4601,-0.4784
"1994-05-17",-0.4161,-0.4297
"1994-05-24",-0.2776,-0.3568
"1994-06-02",-0.3895,-0.3903
"1994-06-09",-0.4758,-0.4891
"1994-06-18",-0.4546,-0.4721
"1994-06-25",-0.4174,-0.3406
"1994-07-04",-0.4662,-0.4762
"1994-07-11",-0.4317,-0.4553
"1994-08-05",,-0.3433
"1994-08-12",-0.4795,-0.4919
"1994-08-21",-0.4478,-0.422
"1994-09-06",-0.3955,-0.4701
"1994-09-13",,
"1994-09-22",-0.4204,-0.4049
"1994-09-29",,
"1994-10-08",-0.3173,0.0156
"1994-10-15",,
"1994-10-24",-0.2717,-0.3418
"1994-10-31",0.2115,0.0541
"1994-11-09",0.3921,0.4605
"1994-11-16",-0.032,-0.1775
"1994-11-25",-0.1211,0.1748
"1994-12-02",-0.3309,-0.1785
"1994-12-11",,
"1994-12-18",-0.1525,-0.0134
"1994-12-27",-0.2681,-0.2095
"1995-01-03",0.3816,0.4531
"1995-01-12",,
"1995-01-19",-0.2818,-0.164
"1995-01-28",0.0101,0.3249
"1995-02-04",-0.2057,-0.0189
"1995-02-13",0.6784,0.6453
"1995-02-20",0.0097,0.3061
"1995-03-08",,
"1995-03-17",,
"1995-03-24",-0.3346,-0.3688
"1995-04-02",0.2137,
"1995-04-18",,
"1995-04-25",-0.0567,0.5322
"1995-05-04",-0.2127,-0.1515
"1995-05-11",,
"1995-06-05",-0.4414,-0.415
"1995-06-12",-0.4773,-0.4979
"1995-06-21",-0.4493,-0.4637
"1995-06-28",-0.3238,-0.3281
"1995-07-07",-0.455,-0.4643
"1995-07-23",-0.253,-0.4267
"1995-07-30",-0.334,-0.4373
"1995-08-08",,
"1995-08-15",-0.4881,-0.4931
"1995-08-24",-0.4579,-0.4685
"1995-08-31",-0.4819,-0.4874
"1995-09-09",-0.2694,
"1995-09-16",-0.4371,-0.4614
"1995-09-25",-0.447,-0.4379
"1995-10-02",-0.4867,-0.5119
"1995-10-11",-0.4374,-0.4607
"1995-10-18",-0.4628,-0.5007
"1995-11-03",-0.4521,-0.4889
"1995-11-19",-0.2539,-0.3855
"1995-12-05",-0.3204,-0.3584
"1995-12-14",-0.2819,-0.3199
"1995-12-21",-0.1244,-0.0698
"1996-01-31",0.3306,0.2525
"1996-02-07",-0.0315,0.0724
"1996-02-16",-0.318,-0.2592
"1996-02-23",-0.3904,-0.4002
"1996-03-03",-0.324,-0.2104
"1996-03-10",,
"1996-03-19",0.0752,0.4552
"1996-03-26",-0.0692,-0.031
"1996-04-11",-0.42,-0.4348
"1996-04-27",,
"1996-05-06",-0.4288,-0.4498
"1996-05-13",-0.4052,-0.4555
"1996-05-22",-0.445,-0.4639
"1996-05-29",-0.4899,-0.5102
"1996-06-07",-0.4573,-0.4747
"1996-06-14",,
"1996-06-23",-0.459,-0.4546
"1996-06-30",-0.3651,-0.3989
"1996-07-16",-0.4733,-0.4844
"1996-07-25",-0.4243,-0.42
"1996-08-01",-0.3789,-0.4321
"1996-08-10",-0.5115,-0.509
"1996-08-17",-0.4753,-0.49
"1996-08-26",-0.4308,-0.4314
"1996-09-02",,
"1996-09-11",-0.4357,-0.4228
"1996-09-18",-0.4919,-0.5036
"1996-09-27",0.6421,0.6674
"1996-10-04",-0.3996,-0.4166
"1996-10-13",-0.4694,-0.4946
"1996-10-20",-0.1387,-0.064
"1996-10-29",,
"1996-11-14",,
"1996-11-21",,
"1996-11-30",,
"1996-12-07",0.4639,0.4146
"1996-12-16",,
"1996-12-23",0.2112,0.2745
"1997-01-01",,
"1997-01-08",0.2337,0.4208
"1997-01-17",0.2605,0.3391
"1997-01-24",-0.255,-0.142
"1997-02-02",-0.3215,-0.3174
"1997-02-09",-0.0445,0.0449
"1997-02-18",-0.2827,-0.2386
"1997-02-25",0.5309,0.54
"1997-03-06",0.3163,0.5021
"1997-03-22",-0.2513,-0.367
"1997-03-29",,
"1997-04-07",0.4328,0.5228
"1997-04-14",,
"1997-04-23",,
"1997-04-30",-0.4411,-0.4578
"1997-05-09",-0.4424,-0.4545
"1997-05-16",-0.4191,-0.4608
"1997-05-25",-0.4916,-0.439
"1997-06-01",-0.4656,-0.4796
"1997-06-10",-0.3655,-0.3714
"1997-06-17",,-0.3417
"1997-06-26",-0.5025,-0.5141
"1997-07-03",-0.48,-0.4899
"1997-07-12",-0.4627,-0.4476
"1997-07-19",,
"1997-08-13",-0.4615,-0.4363
"1997-08-20",-0.5204,-0.5355
"1997-08-29",-0.4124,-0.4496
"1997-09-05",-0.4709,-0.4871
"1997-09-14",-0.4767,-0.4883
"1997-09-30",-0.4875,-0.4948
"1997-10-07",-0.3302,-0.3282
"1997-10-16",-0.4458,-0.448
"1997-11-01",0.5313,0.554
"1997-11-17",0.2577,0.3982
"1997-11-24",0.09,0.2785
"1997-12-03",0.6168,0.6321
"1997-12-26",0.5388,0.522
"1998-01-04",0.4123,0.531
"1998-01-11",,
"1998-01-20",,
"1998-01-27",0.3148,0.4892
"1998-02-05",0.3245,0.4858
"1998-02-12",0.2906,0.5022
"1998-02-28",0.2417,0.5334
"1998-03-09",0.4736,0.5356
"1998-03-16",,
"1998-03-25",-0.1817,0.0002
"1998-04-01",0.0259,0.4758
"1998-04-10",-0.1972,
"1998-04-17",0.6875,0.704
"1998-05-03",-0.3875,-0.3888
"1998-05-12",-0.49,-0.4682
"1998-05-19",-0.4504,-0.4767
"1998-05-28",-0.4717,-0.4667
"1998-06-04",-0.3866,
"1998-06-13",-0.4281,-0.4554
"1998-06-20",-0.4621,-0.4744
"1998-06-29",-0.4649,-0.4754
"1998-07-15",-0.4664,-0.4817
"1998-07-22",,-0.3567
"1998-07-31",,
"1998-08-07",-0.5014,-0.5122
"1998-08-16",-0.4759,-0.4446
"1998-08-23",-0.49,-0.5076
"1998-09-01",,
"1998-09-08",-0.4651,-0.4754
"1998-09-17",-0.4603,-0.4678
"1998-09-24",-0.4919,-0.5026
"1998-10-03",-0.2982,-0.2531
"1998-10-10",-0.4717,-0.4759
"1998-10-19",-0.4273,-0.4347
"1998-11-04",0.1232,0.2593
"1998-11-11",0.4027,0.4417
"1998-11-20",,
"1998-11-27",-0.4131,-0.4252
"1998-12-06",0.4232,0.4358
"1998-12-13",0.2831,0.4168
"1998-12-22",0.521,0.4738
"1998-12-29",0.0326,0.1277
"1999-01-07",-0.1734,-0.0712
"1999-01-14",,
"1999-01-23",0.4432,0.4871
"1999-01-30",,
"1999-02-08",-0.3357,-0.2266
"1999-02-24",-0.1895,-0.0458
"1999-03-19",-0.3767,-0.3403
"1999-03-28",-0.4062,-0.4093
"1999-04-04",0.4549,0.5535
"1999-04-20",-0.4118,-0.4275
"1999-05-06",-0.4484,-0.4666
"1999-05-15",-0.4499,-0.4599
"1999-05-22",-0.4486,-0.4513
"1999-05-31",-0.3128,-0.4262
"1999-06-07",-0.4762,-0.4938
"1999-06-23",-0.466,-0.4811
"1999-07-01",-0.4982,-0.5024
"1999-07-02",,
"1999-07-09",,
"1999-07-10",-0.4713,-0.4784
"1999-07-17",-0.4737,-0.4584
"1999-07-18",-0.4136,-0.4042
"1999-07-25",,
"1999-07-26",-0.502,-0.5071
"1999-08-02",-0.5064,-0.5019
"1999-08-03",-0.4013,-0.4333
"1999-08-10",-0.1712,
"1999-08-11",,
"1999-08-18",-0.5241,-0.5301
"1999-08-19",-0.4777,-0.491
"1999-08-26",-0.4618,-0.4756
"1999-08-27",-0.5086,-0.5111
"1999-09-03",-0.5111,-0.4991
"1999-09-04",-0.4765,-0.4738
"1999-09-11",,
"1999-09-12",-0.4422,-0.4703
"1999-09-27",-0.3121,-0.319
"1999-09-28",,
"1999-10-05",-0.4825,-0.4913
"1999-10-06",,
"1999-10-13",-0.472,-0.4843
"1999-10-14",-0.4744,-0.4739
"1999-10-21",-0.38,-0.1667
"1999-10-22",-0.4073,-0.3217
"1999-10-29",,0.0188
"1999-10-30",-0.4535,-0.4649
"1999-11-06",-0.4722,-0.4817
"1999-11-07",-0.3945,-0.3949
"1999-11-14",-0.4482,-0.446
"1999-11-15",-0.4384,-0.4482
"1999-11-23",0.7036,0.7089
"1999-11-30",,
"1999-12-01",-0.3123,-0.177
"1999-12-08",,
"1999-12-17",0.4842,0.452
"1999-12-24",0.3588,0.3681
"1999-12-25",0.3661,0.3756
"2000-01-02",0.6184,0.6532
"2000-01-09",0.355,0.4906
"2000-01-10",,
"2000-01-17",
"2000-01-18",-0.0211,
"2000-01-26",,
"2000-02-02",0.4425,0.4666
"2000-02-03",0.4576,0.5589
"2000-02-10",,
"2000-02-11",-0.1086,0.381
"2000-02-18",0.5817,0.6366
"2000-02-19",0.199,0.4559
"2000-02-26",-0.3178,-0.0288
"2000-02-27",-0.1488,0.0065
"2000-03-05",-0.292,-0.0273
"2000-03-06",-0.3468,-0.1073
"2000-03-13",-0.4012,-0.1345
"2000-03-14",-0.3577,-0.1969
"2000-03-21",,0.5133
"2000-03-29",-0.3792,0.2652
"2000-04-07",-0.3268,-0.3213
"2000-04-14",-0.4549,-0.4654
"2000-04-23",,
"2000-05-01",-0.1153,
"2000-05-09",-0.352,-0.4319
"2000-05-16",-0.5126,-0.5112
"2000-05-17",,
"2000-05-24",,
"2000-05-25",-0.3772,
"2000-06-01",-0.5001,-0.5064
"2000-06-02",-0.4488,-0.4085
"2000-06-09",,
"2000-06-10",-0.4804,-0.4757
"2000-06-17",,
"2000-06-18",-0.4404,-0.4566
"2000-06-25",-0.2199,
"2000-07-03",,
"2000-07-04",-0.4835,-0.4806
"2000-07-11",-0.4654,-0.4249
"2000-07-12",-0.3375,
"2000-07-19",-0.5272,-0.53
"2000-07-20",-0.47,-0.4882
"2000-07-27",-0.2898,-0.3278
"2000-07-28",-0.4257,-0.4604
"2000-08-04",-0.4677,-0.4693
"2000-08-05",-0.478,-0.4826
"2000-08-12",,
"2000-08-13",-0.5114,-0.4984
"2000-08-20",,
"2000-08-21",-0.349,
"2000-08-28",-0.475,-0.4738
"2000-09-05",-0.5137,-0.5082
"2000-09-06",,-0.3755
"2000-09-13",-0.4826,-0.4732
"2000-09-14",-0.4981,-0.4897
"2000-09-21",-0.2953,-0.4527
"2000-09-22",,
"2000-09-29",-0.1725,-0.1258
"2000-09-30",-0.4813,-0.4641
"2000-10-07",,
"2000-10-08",-0.4348,-0.4003
"2000-10-15",-0.4705,-0.4593
"2000-10-16",-0.4769,-0.4605
"2000-10-23",,
"2000-10-24",-0.424,-0.4126
"2000-10-31",,
"2000-11-01",-0.4292,-0.4411
"2000-11-08",0.027,0.0638
"2000-11-09",-0.1438,-0.1124
"2000-11-16",0.4021,0.5125
"2000-11-17",0.372,0.4997
"2000-11-24",0.0794,0.3081
"2000-11-25",-0.0137,0.1634
"2000-12-02",-0.1526,0.0621
"2000-12-03",-0.1796,0.0098
"2000-12-10",,
"2000-12-11",0.5371,0.5742
"2000-12-18",-0.0038,0.1739
"2000-12-19",,
"2000-12-26",0.5024,0.5277
"2000-12-27",0.2366,0.3096
"2001-01-04",-0.166,-0.0104
"2001-01-11",-0.2728,-0.1255
"2001-01-12",-0.2494,-0.138
"2001-01-19",0.343,0.298
"2001-01-20",,
"2001-01-27",,
"2001-02-04",0,0.3074
"2001-02-05",-0.1104,0.1482
"2001-02-12",0.4097,0.4827
"2001-02-13",0.2754,0.4038
"2001-02-20",-0.0564,0.214
"2001-02-21",-0.0836,0.1288
"2001-02-28",,
"2001-03-01",0.5252,
"2001-03-08",-0.1566,0.0622
"2001-03-09",-0.3072,-0.0282
"2001-03-16",,
"2001-03-24",0.6063,0.6261
"2001-03-25",-0.1511,
"2001-04-01",-0.4883,-0.3958
"2001-04-02",-0.368,-0.3983
"2001-04-09",-0.4335,-0.4414
"2001-04-10",,
"2001-04-17",-0.4594,-0.3368
"2001-04-18",-0.4041,-0.2988
"2001-04-25",-0.4468,-0.4525
"2001-04-26",-0.4607,-0.4673
"2001-05-11",-0.4231,-0.4231
"2001-05-12",-0.4764,-0.4769
"2001-05-19",,
"2001-05-20",-0.4666,-0.4687
"2001-05-27",-0.3364,-0.4261
"2001-05-28",,
"2001-06-04",-0.3979,
"2001-06-05",-0.4503,-0.456
"2001-06-12",-0.3175,-0.3428
"2001-06-13",,
"2001-06-20",-0.3418,-0.3491
"2001-06-21",-0.4729,-0.4624
"2001-06-28",-0.4793,-0.4514
"2001-06-29",-0.4332,-0.4363
"2001-07-06",-0.2519,-0.2214
"2001-07-07",-0.4812,-0.4531
"2001-07-15",-0.4696,
"2001-07-22",,-0.414
"2001-07-23",,
"2001-07-30",-0.2607,
"2001-07-31",-0.5068,-0.4933
"2001-08-07",-0.3492,-0.4369
"2001-08-08",-0.5075,-0.37
"2001-08-15",-0.4547,-0.4423
"2001-08-16",,
"2001-08-23",,
"2001-08-24",-0.5107,-0.5041
"2001-08-31",,
"2001-09-01",-0.44,-0.4322
"2001-09-08",0.6297,
"2001-09-09",-0.4754,-0.3331
"2001-09-16",-0.2878,-0.2818
"2001-09-17",-0.4885,-0.3935
"2001-09-24",-0.4989,-0.495
"2001-09-25",-0.4801,-0.4662
"2001-10-02",-0.3403,-0.4379
"2001-10-03",-0.4903,-0.4834
"2001-10-11",,
"2001-10-18",-0.3941,-0.2063
"2001-10-19",-0.4708,-0.4543
"2001-10-26",-0.5006,-0.4984
"2001-10-27",,
"2001-11-03",-0.1695,-0.2038
"2001-11-04",-0.4695,-0.4485
"2001-11-11",-0.451,-0.4149
"2001-11-12",-0.4134,-0.3997
"2001-11-19",0.1645,0.4021
"2001-11-20",-0.3903,-0.2553
"2001-11-27",0.4886,0.2472
"2001-11-28",0.6131,0.6039
"2001-12-05",-0.2104,-0.111
"2001-12-06",-0.2752,-0.1833
"2001-12-13",0.2711,0.4419
"2001-12-14",,
"2001-12-21",-0.1964,-0.1113
"2001-12-22",0.5316,0.5443
"2001-12-29",-0.098,0.1468
"2001-12-30",,
"2002-01-06",0.2786,0.2761
"2002-01-07",0.1138,0.1784
"2002-01-14",-0.2086,0.0885
